,,本國籍,大陸,港澳,印尼,馬來西亞,新加坡,菲律賓,泰國,緬甸,越南,柬埔寨,寮國,日本,韓國,美國,加拿大,澳大利亞,紐西蘭,英國,法國,德國,史瓦帝尼,南非,賴索托,模里西斯,其他
新北市,男,"1,924",15,29,－,8,1,－,－,－,6,－,－,19,10,15,8,8,2,12,2,2,－,2,－,－,17
新北市,女,"1,878",86,29,12,8,2,5,9,8,85,－,－,5,2,3,－,2,－,1,－,－,－,－,－,－,1
臺北市,男,"1,142",20,16,－,7,2,－,1,－,5,－,－,10,3,23,5,5,1,6,4,3,－,2,－,－,10
臺北市,女,"1,127",63,17,5,10,1,2,2,－,25,－,－,3,－,5,3,－,2,－,－,－,－,1,－,－,3
桃園市,男,"1,230",14,13,3,3,1,1,2,－,11,－,－,3,3,4,3,5,2,1,3,3,－,－,－,－,4
桃園市,女,"1,164",44,9,8,3,1,13,5,1,67,2,－,3,2,3,－,－,－,－,－,－,－,－,－,－,2
臺中市,男,"1,453",7,21,－,4,3,－,3,1,6,－,－,10,－,6,1,5,－,2,2,2,－,2,－,－,5
臺中市,女,"1,401",45,19,2,12,－,9,8,－,43,2,－,4,2,－,1,1,－,－,－,－,－,－,－,－,－
臺南市,男,833,8,7,－,2,1,－,1,－,6,－,－,2,－,8,2,3,－,1,1,3,－,－,－,－,5
臺南市,女,807,27,6,3,6,－,6,2,－,31,－,－,2,－,－,－,－,1,－,－,－,－,－,－,－,－
高雄市,男,"1,309",10,7,1,10,4,1,1,－,7,－,－,3,3,5,5,3,2,5,1,3,－,1,－,－,8
高雄市,女,"1,289",28,16,7,7,2,12,－,1,50,－,－,1,2,2,－,2,－,－,－,－,－,－,－,－,－
宜蘭縣,男,198,3,1,－,2,－,－,1,－,2,－,－,1,－,2,－,1,－,－,－,－,－,－,－,－,－
宜蘭縣,女,198,10,3,－,2,－,－,2,－,9,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－
新竹縣,男,305,3,1,1,1,－,－,1,－,4,－,－,－,－,1,－,1,－,－,－,1,－,－,－,－,1
新竹縣,女,293,9,2,3,2,－,6,4,－,11,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,1
苗栗縣,男,237,2,－,1,－,－,－,1,－,1,－,－,－,1,1,1,－,－,1,－,－,－,－,－,－,1
苗栗縣,女,204,19,2,2,1,－,1,1,－,15,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
彰化縣,男,494,1,5,1,3,1,－,3,－,1,－,－,1,－,2,1,2,－,1,－,1,－,－,－,－,3
彰化縣,女,468,18,5,2,7,－,1,2,1,25,－,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－
南投縣,男,207,2,2,－,－,－,－,1,－,1,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,1
南投縣,女,181,13,2,－,3,－,－,－,－,10,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
雲林縣,男,268,3,1,1,－,－,－,－,－,3,－,－,1,1,2,－,－,－,－,1,－,－,－,－,－,2
雲林縣,女,247,12,3,1,1,－,－,1,－,24,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,1
嘉義縣,男,184,1,2,－,1,－,－,1,－,1,－,－,－,－,1,－,－,－,1,1,－,－,－,－,－,1
嘉義縣,女,171,5,1,1,4,－,3,－,－,9,1,－,2,1,－,－,－,－,－,－,－,－,－,－,－,－
屏東縣,男,345,1,3,－,1,1,－,－,－,1,－,－,－,－,－,－,2,－,－,－,1,－,－,－,－,2
屏東縣,女,333,9,2,3,2,1,4,－,－,15,－,－,－,1,－,－,1,－,－,－,－,－,－,－,－,－
臺東縣,男,114,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
臺東縣,女,109,5,1,1,1,－,2,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
花蓮縣,男,175,2,3,1,－,－,－,－,－,－,－,－,1,－,－,－,1,1,－,－,－,－,－,－,－,1
花蓮縣,女,168,7,1,2,1,－,－,－,－,8,－,－,1,－,－,－,－,－,－,1,－,－,－,－,－,－
澎湖縣,男,59,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
澎湖縣,女,60,2,－,1,－,－,－,－,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
基隆市,男,156,1,－,－,1,－,－,－,－,－,－,－,－,1,1,－,－,－,－,－,－,－,－,－,－,－
基隆市,女,147,7,1,1,－,－,2,－,－,5,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
新竹市,男,241,2,－,1,－,－,－,－,－,3,－,－,1,－,1,－,1,－,－,－,1,－,－,－,－,1
新竹市,女,229,12,1,1,1,－,2,1,－,11,－,－,1,－,1,－,－,－,－,－,－,－,－,－,－,－
嘉義市,男,122,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
嘉義市,女,120,1,－,1,－,－,－,－,－,3,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－
金門縣,男,53,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
金門縣,女,49,2,－,－,－,－,－,－,－,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
連江縣,男,6,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
連江縣,女,7,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－